अंक	ə ŋ k
भूमिगत	bʱ uː m ɪ ɡ ə t̪
भूविज्ञान	bʱ uː ʋ ɪ ɡ j ɑː n
भेजना	bʱ eː d͡ʒ n ɑː
भेजा	bʱ eː d͡ʒ ɑː
भेड़	bʱ eː ɽ
भेदभाव	bʱ eː d̪ bʱ ɑː ʋ
भेलपूरी	bʱ eː l p uː ɾ iː
भेषज	bʱ eː ʃ ə d͡ʒ
भैंस	bʱ ɛ̃ː s
भैया	bʱ ə iː j ɑː
भोग	bʱ oː ɡ
भोगना	bʱ oː ɡ n ɑː
भोजपुरी	bʱ oː d͡ʒ p ʊ ɾ iː
भोपाल	bʱ oː p ɑː l
भोर	bʱ oː ɾ
भोला	bʱ oː l ɑː
भौतिक	bʱ ɔː t̪ ɪ k
भौतिकी	bʱ ɔː t̪ ɪ k iː
भ्रष्ट	bʱ ɾ ə ʃ ʈ
भ्रष्टाचार	bʱ ɾ ə ʃ ʈ ɑː t͡ʃ ɑː ɾ
भ्रूण	bʱ ɾ uː n
मंगल	m ə ŋ ɡ ə l
मंगोलिया	m ə ŋ ɡ oː l iː j ɑː
मंज़र	m ə n z ə ɾ
मंज़िल	m ə n z ɪ l
मंज़ूर	m ə n z uː ɾ
मंत्रालय	m ə n t̪ ɾ ɑː l ə j
मंशा	m ə n ʃ ɑː
मई	m ə iː
मकान	m ə k aː n
मक्का	m ə k k ɑː
मक्खन	m ə k kʰ ə n
मगर	m ə ɡ ə ɾ
मगरमच्छ	m ə ɡ ə ɾ m ə t͡ʃ t͡ʃʰ
मचाना	m ə t͡ʃ ɑː n ɑː
मछलीपालन	m ə t͡ʃʰ l iː p ɑː l ə n
मछुआरा	m ə t͡ʃʰ ʊ ɑː ɾ ɑː
मजनू	m ə d͡ʒ n uː
मजनूँ	m ə d͡ʒ n ũː
मजबूर	m ə d͡ʒ b uː ɾ
मजबूरी	m ə d͡ʒ b uː ɾ iː
मजलिस	m ə d͡ʒ l ɪ s
मज़लूम	m ə z l uː m
मज़ा	m ə z ɑː
मज़ार	m ə z ɑː ɾ
मटमैला	m ə ʈ m ɛː l ɑː
मटर	m ə ʈ ə ɾ
मठ	m ə ʈʰ
मणि	m ə n iː
मत	m ə t̪
मतगणना	m ə t̪ ɡ ə n n ɑː
मतदाता	m ə t̪ d̪ ɑː t̪ ɑː
मतदान	m ə t̪ d̪ ɑː n
मतलब	m ə t̪ l ə b
मतलबी	m ə t̪ l ə b iː
मथुरा	m ə t̪ʰ ʊ ɾ ɑː
मद	m ə d̪
मदुरै	m ə d̪ ʊ ɾ ɛː
मद्देनज़र	m ə d̪ d̪ eː n ə z ə ɾ
मद्धम	m ə d̪ d̪ʱ ə m
मधु	m ə d̪ʱ uː
मधुमक्खी	m ə d̪ʱ ʊ m ə k kʰ iː
मधुमेह	m ə d̪ʱ uː m eːʱ
मधुर	m ə d̪ʱ ʊ ɾ
मध्य	m ə d̪ʱ j
मध्ययुग	m ə d̪ʱ j ə j ʊ ɡ
मध्यवर्ग	m ə d̪ʱ j ə ʋ ə ɾ ɡ
मध्यांतर	m ə d̪ʱ j ɑː n t̪ ə ɾ
मध्यावधि	m ə d̪ʱ j ɑː ʋ ə d̪ʱ iː
मन	m ə n
मना	m ə n ɑː
मनाना	m ə n ɑː n ɑː
मनीऑर्डर	m ə n iː ɔː ɾ ɖ ə ɾ
मनुष्य	m ə n ʊ ʃ j ə
मनोबल	m ə n oː b ə l
मनोरंजन	m ə n oː ɾ ə ɲ d͡ʒ ə n
मनोरोग	m ə n oː ɾ oː ɡ
मनोवैज्ञानिक	m ə n oː ʋ ɛː ɡ j ɑː n ɪ k
मन्नत	m ə n n ə t̪
मयूर	m ə j uː ɾ
मरना	m ə ɾ n ɑː
मरम्मत	m ə ɾ ə m m ə t̪
मराठा	m ə ɾ ɑː ʈʰ ɑː
मराठी	m ə ɾ ɑː ʈʰ iː
मरीज़	m ə ɾ iː z
मर्तबा	m ə ɾ t̪ ə b ɑː
मर्दाना	m ə ɾ d̪ ɑː n ɑː
मर्यादा	m ə ɾ j ɑː d̪ ɑː
मलयालम	m ə l ə j ɑː l ə m
मलाई	m ə l ɑː iː
मलाल	m ə l ɑː l
मलिका	m ə l ɪ k ɑː
मलेशिया	m ə l eː ʃ iː j ɑː
मल्होत्रा	m ə l ɦ oː t̪ ɾ ɑː
मशहूर	m ə ʃ ɦ uː ɾ
मशीन	m ə ʃ iː n
मशीनीकरण	m ə ʃ iː n iː k ɾ ə n
मसल	m ə s ə l
मसला	m ə s l ɑː
मसीह	m ə s iːʱ
मसीहा	m ə s iː ɦ ɑː
मस्तिष्क	m ə s t̪ ɪ ʃ k
महँगाई	m ə ɦ ə̃ ɡ ɑː iː
महंगा	m ɛːʱ ŋ ɡ ɑː
महकमा	m ɛːʱ k m ɑː
महज़	m ɛːʱ z
महताब	m ɛːʱ t̪ ɑː b
महत्त्व	m ɛːʱ t̪ t̪ ʋ
महत्व	m ɛːʱ t̪ ʋ
महत्वाकांक्षा	m ɛːʱ t̪ ʋ ɑː k ɑː ŋ k ʃ ɑː
महबूब	m ɛːʱ b uː b
महबूबा	m ɛːʱ b uː b ɑː
महरूम	m ɛːʱ ɾ uː m
महल	m ɛːʱ l
महादेव	m ə ɦ ɑː d̪ eː ʋ
महाधिवक्ता	m ə ɦ ɑː d̪ʱ ɪ ʋ ə k t̪ ɑː
महान	m ə ɦ ɑː n
महापौर	m ə ɦ ɑː p ɔː ɾ
महाभियोग	m ə ɦ ɑː bʱ iː j oː ɡ
महारत	m ə ɦ ɑː ɾ ə t̪
महाराज	m ə ɦ ɑː ɾ ɑː d͡ʒ
महाराजा	m ə ɦ ɑː ɾ ɑː d͡ʒ ɑː
महाराष्ट्र	m ə ɦ ɑː ɾ ɑː ʃ ʈ ɾ
महावीर	m ə ɦ ɑː ʋ iː ɾ
महासचिव	m ə ɦ ɑː s ə t͡ʃ ɪ ʋ
माँ	m ɑ̃ː
माँग	m ɑ̃ː ɡ
माँगना	m ɑ̃ː ɡ n ɑː
मां	m ɑ̃ː
मांजा	m ɑː ɲ d͡ʒ ɑː
मांस	m ɑː n s
मांसपेशी	m ɑː n s p eː ʃ iː
माइक	m ɑː ɪ k
माओवाद	m ɑː oː ʋ ɑː d̪
माचिस	m ɑː t͡ʃ ɪ s
माजरा	m ɑː d͡ʒ ɾ ɑː
मातृभाषा	m ɑː t̪ ɾ ɪ bʱ ɑː ʃ ɑː
माथा	m ɑː t̪ʰ ɑː
मादा	m ɑː d̪ ɑː
माधव	m ɑː d̪ʱ ə ʋ
मानक	m ɑː n ə k
मानना	m ɑː n n ɑː
माननीय	m ɑː n n iː j
मानवीय	m ɑː n ə ʋ iː j
मानस	m ɑː n ə s
मानसिकता	m ɑː n s ɪ k t̪ ɑː
मानसून	m ɑː n s uː n
मानसूनी	m ɑː n s uː n iː
माने	m ɑː n eː
मान्यता	m ɑː n j ə t̪ ɑː
माप	m ɑː p
माफ़	m ɑː f
माफ़ी	m ɑː f iː
मामला	m ɑː m l ɑː
मामा	m ɑː m ɑː
मामी	m ɑː m iː
मामूली	m ɑː m uː l iː
मायने	m ɑː j n eː
मायूस	m ɑː j uː s
मायूसी	m ɑː j uː s iː
मारना	m ɑː ɾ n ɑː
मारवाड़	m ɑː ɾ ʋ ɑː ɽ
मारवाड़ी	m ɑː ɾ ʋ ɑː ɽ iː
मार्केट	m ɑː ɾ k eː ʈ
मार्ग	m ɑː ɾ ɡ
मार्गदर्शन	m ɑː ɾ ɡ d̪ ə ɾ ʃ ə n
मार्च	m ɑː ɾ t͡ʃ
मालदार	m ɑː l d̪ ɑː ɾ
मालूम	m ɑː l uː m
माल्टा	m aː l ʈ aː
मावा	m ɑː ʋ ɑː
मास	m ɑː s
मास्को	m ɑː s k oː
माह	m ɑːʱ
माहौल	m ɑː ɦ ɔː l
मिज़ाज	m ɪ z ɑː d͡ʒ
मिज़ोरम	m ɪ z oː ɾ ə m
मिटना	m ɪ ʈ n̪ aː
मिट्टी	m ɪ ʈ ʈ iː
मिठाई	m ɪ ʈʰ ɑː iː
मिठास	m ɪ ʈʰ ɑː s
मिनट	m ɪ n ə ʈ
मिन्नत	m ɪ n n ə t̪
मियाँ	m iː j ɑ̃ː
मिर्च	m ɪ ɾ t͡ʃ
मिल	m ɪ l
मिलन	m ɪ l ə n
मिलीभगत	m ɪ l iː bʱ ə ɡ ə t̪
मिश्रण	m ɪ ʃ ɾ ə n
मिस	m ɪ s
मिस्टर	m ɪ s ʈ ə ɾ
मिस्त्री	m ɪ s t̪ ɾ iː
मिस्र	m ɪ s ɾ
मीडिया	m iː ɖ iː j ɑː
मीन	m iː n
मीर	m iː ɾ
मुँह	m ũːʱ
मुंडन	m ʊ n ɖ ə n
मुंशी	m ʊ n ʃ iː
मुआवज़ा	m ʊ ɑː ʋ z ɑː
मुखर	m ʊ kʰ ə ɾ
मुखिया	m ʊ kʰ iː j ɑː
मुख्य	m ʊ kʰ j ə
मुग्ध	m ʊ ɡ d̪ʱ
मुजरिम	m ʊ d͡ʒ ɾ ɪ m
मुज़फ़्फ़राबाद	m ʊ z ə f f ə ɾ ɑː b ɑː d̪
मुजाहिदीन	m ʊ d͡ʒ ɑː ɦ ɪ d̪ iː n
मुझ	m ʊ d͡ʒʱ
मुझसे	m ʊ d͡ʒʱ s eː
मुझे	m ʊ d͡ʒʱ eː
मुठभेड़	m ʊ ʈʰ bʱ eː ɽ
मुद्दा	m ʊ d̪ d̪ ɑː
मुनाफ़ा	m ʊ n ɑː f ɑː
मुनासिब	m ʊ n ɑː s ɪ b
मुन्ना	m ʊ n n ɑː
मुबारकबाद	m ʊ b ɑː ɾ ə k b ɑː d̪
मुरीद	m ʊ ɾ iː d̪
मुर्दा	m ʊ ɾ d̪ ɑː
मुल्तान	m ʊ l t̪ ɑː n
मुल्ला	m ʊ l l ɑː
मुसलमान	m ʊ s ə l m ɑː n
मुसल्ला	m ʊ s ə l l ɑː
मुहब्बत	m ʊ ɦ ə b b ə t̪
मुहर	m ʊ ɦ ə ɾ
मुहर्रम	m ʊ ɦ ə ɾ ɾ ə m
मुहावरा	m ʊ ɦ ɑː ʋ ɾ ɑː
मुहिम	m ʊ ɦ ɪ m
मूँग	m ũː ɡ
मूंग	m uː ŋ ɡ
मूंछ	m uː ɲ t͡ʃʰ
मूक	m uː k
मूत्राशय	m uː t̪ ɾ ɑː ʃ ə j
मूर्ख	m uː ɾ kʰ
मूर्धन्य	m uː ɾ d̪ʱ ə n j
मूलतः	m uː l t̪ əʰ
मूल्य	m uː l j
मूल्यांकन	m uː l j ɑː ŋ k ə n
मृत	m ɾ ɪ t̪
मृतक	m ɾ ɪ t̪ ə k
मे	m eː
में	m ẽ
मेंढक	m eː n ɖʱ ə k
मेक्सिको	m eː k s ɪ k oː
मेघालय	m eː ɡʱ ɑː l ə j
मेज़	m eː z
मेज़बान	m eː z b ɑː n
मेथी	m eː t̪ʰ iː
मेमो	m eː m oː
मेयर	m eː j ə ɾ
मेरा	m eː ɾ ɑː
मेवा	m eː ʋ ɑː
मेवाड़	m eː ʋ ɑː ɽ
मेष	m eː ʃ
मेहनत	m eːʱ n ə t̪
मेहनती	m eː ɦ ə n t̪ iː
मैंने	m ɛ̃ː n eː
मैच	m ɛː t͡ʃ
मैथुन	m ɛː t̪ʰ ʊ n
मैनचेस्टर	m ɛː n t͡ʃ eː s ʈ ə ɾ
मॉड्यूल	m ɔː ɖ j uː l
मोक्ष	m oː k ʃ ə
मोती	m oː t̪ iː
मोदी	m oː d̪ iː
मोनाको	m oː n ɑː k oː
मोबाइल	m oː b ɑː ɪ l
मोबिलिटी	m oː b ɪ l ɪ ʈ iː
मोम	m oː m
मोर	m oː ɾ
मोरक्को	m oː ɾ ə k k oː
मोर्चा	m oː ɾ t͡ʃ ɑː
मोल	m oː l
मोहताज	m oːʱ t̪ ɑː d͡ʒ
मोहरा	m oːʱ ɾ ɑː
मोहलत	m oːʱ l ə t̪
मौखिक	m ɔː kʰ ɪ k
मौजूदगी	m ɔː d͡ʒ uː d̪ ɡ iː
मौजूदा	m ɔː d͡ʒ uː d̪ ɑː
मौन	m ɔː n
मौलवी	m ɔː l ʋ iː
मौला	m ɔː l ɑː
मौलाना	m ɔː l ɑː n ɑː
मौलिक	m ɔː l ɪ k
मौसम	m ɔː s ə m
मौसमी	m ɔː s m iː
मौसी	m ɔː s iː
यंत्र	j ə n t̪ ɾ ə
यद्यपि	j ə d̪ j ə p iː
यमन	j ə m ə n
यमुना	j ə m ʊ n ɑː
यरुशलम	j ə ɾ ʊ ʃ ə l ə m
यह	j əʱ
यहूदी	j ə ɦ uː d̪ iː
या	j ɑː
याचिका	j ɑː t͡ʃ ɪ k ɑː
यातायात	j ɑː t̪ ɑː j ɑː t̪
यात्री	j ɑː t̪ ɾ iː
याद	j ɑː d̪
यान	j ɑː n
यानी	j ɑː n iː
यार	j ɑː ɾ
युक्त	j ʊ k t̪
युग	j ʊ ɡ
युद्ध	j ʊ d̪ d̪ʱ
युद्धक	j ʊ d̪ d̪ʱ ə k
युवक	j ʊ ʋ ə k
युवती	j ʊ ʋ t̪ iː
युवा	j ʊ ʋ ɑː
यूँ	j ũː
यूक्रेन	j uː k ɾ eː n
यूनानी	j uː n ɑː n iː
यूरोप	j uː ɾ oː p
योनि	j oː n iː
यौवन	j ɔː ʋ ə n
रंग	ɾ ə ŋ ɡ
रंगमंच	ɾ ə ŋ ɡ m ə ɲ t͡ʃ
रंगरूट	ɾ ə ŋ ɡ ɾ uː ʈ
रंजिश	ɾ ə ɲ d͡ʒ ɪ ʃ
रईस	ɾ ə iː s
रक्त	ɾ ə k t̪
रक्तपात	ɾ ə k t̪ p ɑː t̪
रक्षण	ɾ ə k ʃ ə n
रखना	ɾ ə kʰ n ɑː
रखा	ɾ ə kʰ ɑː
रचना	ɾ ə t͡ʃ n ɑː
रज़ामंद	ɾ ə z ɑː m ə n d̪
रज़ामंदी	ɾ ə z ɑː m ə n d̪ iː
रजिस्टर	ɾ ə d͡ʒ ɪ s ʈ ə ɾ
रणनीतिक	ɾ ə n n iː t̪ ɪ k
रद्द	ɾ ə d̪ d̪
रब	ɾ ə b
रबड़	ɾ ə b ə ɽ
रवांडा	ɾ ə ʋ ɑː n ɖ ɑː
रवाना	ɾ ə ʋ ɑː n ɑː
रवि	ɾ ə ʋ iː
रवैया	ɾ ə ʋ ə iː j ɑː
रशिया	ɾ ə ʃ iː j ɑː
रस	ɾ ə s
रसूल	ɾ ə s uː l
रसोई	ɾ ə s oː iː
रस्सी	ɾ ə s s iː
रहना	ɾ ɛːʱ n ɑː
रहमान	ɾ ɛːʱ m ɑː n
रहस्य	r ɛ ɦ ɛ s j
रहस्यमय	ɾ ɛːʱ s j ə m ə j
रहीम	ɾ ə ɦ iː m
रांची	ɾ ɑː ɲ t͡ʃ iː
राख	r a kʰ
राज	ɾ ɑː d͡ʒ
राजग	ɾ ɑː d͡ʒ ə ɡ
राजद	ɾ ɑː d͡ʒ ə d̪
राजदूत	ɾ ɑː d͡ʒ d̪ uː t̪
राजनयिक	ɾ ɑː d͡ʒ n ə j ɪ k
राजवंश	ɾ ɑː d͡ʒ ʋ ə n ʃ
राजस्थान	ɾ ɑː d͡ʒ ə s t̪ʰ ɑː n
राजस्थानी	ɾ ɑː d͡ʒ ə s t̪ʰ ɑː n iː
राज़	ɾ ɑː z
राज़ी	ɾ ɑː z iː
राजा	ɾ ɑː d͡ʒ ɑː
राजेश	r aː d͡ʒ e ʃ
राज्यपाल	ɾ ɑː d͡ʒ j ə p ɑː l
रात	ɾ ɑː t̪
रात्रि	ɾ ɑː t̪ ɾ iː
रानी	ɾ ɑː n iː
राम	ɾ ɑː m
रामचंद्र	ɾ ɑː m t͡ʃ ə n d̪ ɾ
रामलीला	ɾ ɑː m l iː l ɑː
रामल्लाह	ɾ ɑː m ə l l ɑːʱ
रार	ɾ ɑː ɾ
राष्ट्रपिता	ɾ ɑː ʃ ʈ ɾ ə p ɪ t̪ ɑː
राष्ट्रीय	ɾ ɑː ʃ ʈ ɾ iː j
राह	ɾ ɑːʱ
रिकॉर्ड	ɾ ɪ k ɔː ɾ ɖ
रिक्त	ɾ ɪ k t̪
रिक्शा	ɾ ɪ k ʃ ɑː
रिपोर्ट	ɾ ɪ p oː ɾ ʈ
रिपोर्टर	ɾ ɪ p oː ɾ ʈ ə ɾ
रियासत	ɾ iː j ɑː s ə t̪
रिवाज	ɾ ɪ ʋ ɑː d͡ʒ
रिश्ता	ɾ ɪ ʃ t̪ ɑː
रिहा	ɾ ɪ ɦ ɑː
रिहाई	ɾ ɪ ɦ ɑː iː
रीढ़	ɾ iː ɽʱ
रीता	ɾ iː t̪ ɑː
रीति	ɾ iː t̪ iː
रुकना	ɾ ʊ k n ɑː
रुझान	ɾ ʊ d͡ʒʱ ɑː n
रुपया	ɾ ʊ p j ɑː
रूप	r uː p
रूपरेखा	ɾ uː p ɾ eː kʰ ɑː
रूबरू	ɾ uː b ɾ uː
रूस	ɾ uː s
रूह	ɾ uːʱ
रे	ɾ eː
रेत	ɾ eː t̪
रेल	ɾ eː l
रेलगाड़ी	ɾ eː l ɡ ɑː ɽ iː
रैन	ɾ ɛː n
रोक	ɾ oː k
रोका	ɾ oː k ɑː
रोग	ɾ oː ɡ
रोगी	ɾ oː ɡ iː
रोज़	ɾ oː z
रोज़गार	ɾ oː z ɡ ɑ ɾ
रोज़मर्रा	ɾ oː z m ə ɾ ɾ ɑː
रोज़ा	ɾ oː z ɑː
रोड	ɾ oː ɖ
रोड़ा	ɾ oː ɽ ɑː
रोध	ɾ oː d̪ʱ
रोमांच	ɾ oː m ɑː ɲ t͡ʃ
रोमानिया	ɾ oː m ɑː n iː j ɑː
रोहतक	ɾ oːʱ t̪ ə k
रौशन	ɾ ɔː ʃ ə n
लंगूर	l ə ŋ ɡ uː ɾ
लंदन	l ə n d̪ ə n
लंबाई	l ə m b ɑː iː
लंबू	l ə m b uː
लकीर	l ə k iː ɾ
लखन	l ə kʰ ə n
लखनऊ	l ə kʰ n ə uː
लगन	l ə ɡ ə n
लगभग	l ə ɡ bʱ ə ɡ
लगान	l ə ɡ ɑː n
लज्जा	l ə d͡ʒ d͡ʒ ɑː
लड़की	l ə ɽ k iː
लड़ना	l ə ɽ n ɑː
लड़ाई	l ə ɽ ɑː iː
लड़ाकू	l ə ɽ ɑː k uː
लड्डू	l ə ɖ ɖ uː
लय	l ə j
ललाट	l ə l ɑː ʈ
लश्कर	l ə ʃ k ə ɾ
लहजा	l ɛːʱ d͡ʒ ɑː
लहर	l ɛːʱ ɾ
लहरा	l ɛːʱ ɾ ɑː
लाइन	l ɑː ɪ n
लाइसेंस	l ɑː ɪ s eː n s
लाख	l ɑː kʰ
लागत	l ɑː ɡ ə t̪
लागू	l ɑː ɡ uː
लाजवाब	l ɑː d͡ʒ ə ʋ ɑː b
लाट	l ɑː ʈ
लातीनी	l ɑː t̪ iː n iː
लापरवाह	l ɑː p ə ɾ ʋ ɑːʱ
लापरवाही	l ɑː p ə ɾ ʋ ɑː ɦ iː
लाभदायक	l ɑː bʱ d̪ ɑː j ə k
लाल	l ɑː l
लालच	l ɑː l ə t͡ʃ
लालटेन	l ɑː l ʈ eː n
लालसा	l ɑː l s ɑː
लालायित	l ɑː l ɑː j ɪ t̪
लिंग	l ɪ ŋ ɡ
लिंगानुपात	l ɪ ŋ ɡ ɑː n ʊ p ɑː t̪
लिंगायत	l ɪ ŋ ɡ ɑː j ə t̪
लिखना	l ɪ kʰ n ɑː
लिखने	l ɪ kʰ n eː
लिखाई	l ɪ kʰ ɑː iː
लिमिटेड	l ɪ m ɪ ʈ eː ɖ
लिवरपूल	l ɪ ʋ ə ɾ p uː l
लीची	l iː t͡ʃ iː
लुटेरा	l ʊ ʈ eː ɾ ɑː
लुत्फ़	l ʊ t̪ f
लुप्त	l ʊ p t̪
लुभाना	l ʊ bʱ ɑː n ɑː
लेकर	l eː k ə ɾ
लेकिन	l eː k ɪ n
लेख	l eː kʰ
लेखन	l eː kʰ ə n
लेखा	l eː kʰ ɑː
लेना	l eː n ɑː
लेस्टर	l eː s ʈ ə ɾ
लैंगिक	l ɛː ŋ ɡ ɪ k
लैब	l ɛː b
लोक	l oː k
लोकसभा	l oː k ə s bʱ ɑː
लोग	l oː ɡ
लोगो	l oː ɡ oː
लोगों	l oː ɡ õː
लोटपोट	l oː ʈ p oː ʈ
लोन	l oː n
लौ	l ɔː
ल्हासा	l ɦ ɑː s ɑː
वंचित	ʋ ə ɲ t͡ʃ ɪ t̪
वंदना	ʋ ə n d̪ ə n ɑː
वंश	ʋ ə n ʃ
वंशवाद	ʋ ə n ʃ ʋ ɑː d̪
वकालत	ʋ ə k ɑː l ə t̪
वक्ता	ʋ ə k t̪ ɑː
वचन	ʋ ə t͡ʃ ə n
वजह	ʋ ə d͡ʒ əʱ
वज़न	ʋ ə z ə n
वजूद	ʋ ə d͡ʒ uː d̪
वड़ोदरा	ʋ ə ɽ oː d̪ ɾ ɑː
वतन	ʋ ə t̪ ə n
वन	ʋ ə n
वन्य	ʋ ə n j
वफ़ादार	ʋ ə f ɑː d̪ ɑː ɾ
वरण	ʋ ə ɾ ə n
वरिष्ठ	ʋ ə ɾ ɪ ʃ ʈʰ
वरीयता	ʋ ə ɾ iː j ə t̪ ɑː
वरुण	ʋ ə r ʊ ɳ
वर्ग	ʋ ə ɾ ɡ
वर्णमाला	ʋ ə ɾ n m ɑː l ɑː
वर्मा	ʋ ə ɾ m ɑː
वर्ष	ʋ ə ɾ ʃ
वर्षा	ʋ ə ɾ ʃ ɑː
वली	ʋ ə l iː
वसंत	ʋ ə s ə n t̪
वसूल	ʋ ə s uː l
वस्तु	ʋ ə s t̪ uː
वस्त्र	ʋ ə s t̪ ɾ
वही	ʋ ə ɦ iː
वहीं	ʋ ə ɦ ĩː
वा	ʋ ɑː
वाटर	ʋ ɑː ʈ ə ɾ
वाणी	ʋ ɑː n iː
वातानुकूलित	ʋ ɑː t̪ ɑː n ʊ k uː l ɪ t̪
वातावरण	ʋ ɑː t̪ ɑː ʋ ɾ ə n
वादा	ʋ ɑː d̪ ɑː
वाद्य	ʋ ɑː d̪ j
वानर	ʋ ɑː n ə ɾ
वापस	ʋ ɑː p ə s
वापसी	ʋ ɑː p s iː
वापिस	ʋ ɑː p ɪ s
वामपंथी	ʋ ɑː m p ə n t̪ʰ iː
वायदा	ʋ ɑː j d̪ ɑː
वायुसेना	ʋ ɑː j uː s eː n ɑː
वार	ʋ ɑː ɾ
वारदात	ʋ ɑː ɾ d̪ ɑː t̪
वारिस	ʋ ɑː ɾ ɪ s
वाली	ʋ ɑː l iː
वासी	ʋ ɑː s iː
वासुदेव	ʋ ɑː s ʊ d̪ eː ʋ
वास्तुकला	ʋ ɑː s t̪ ʊ k ə l ɑː
वाहक	ʋ ɑː ɦ ə k
वाहन	ʋ ɑː ɦ ə n
विकार	ʋ ɪ k ɑː ɾ
विकासशील	ʋ ɪ k ɑː s ʃ iː l
विक्रय	ʋ ɪ k ɾ ə j
विक्रेता	ʋ ɪ k ɾ eː t̪ ɑː
विख्यात	ʋ ɪ kʰ j ɑː t̪
विचारधारा	ʋ ɪ t͡ʃ ɑː ɾ d̪ʱ ɑː ɾ ɑː
विजेता	ʋ ɪ d͡ʒ eː t̪ ɑː
विज्ञान	ʋ ɪ ɡ j ɑː n
विज्ञापन	ʋ ɪ ɡ j ɑː p ə n
वितरण	ʋ ɪ t̪ ɾ ə n
वित्तीय	ʋ ɪ t̪ t̪ iː j
विद्या	ʋ ɪ d̪ j ɑː
विद्यार्थी	ʋ ɪ d̪ j ɑː ɾ t̪ʰ iː
विद्रोह	ʋ ɪ d̪ ɾ oːʱ
विद्वान	ʋ ɪ d̪ ʋ ɑː n
विधवा	ʋ ɪ d̪ʱ ʋ ɑː
विधानसभा	ʋ ɪ d̪ʱ ɑː n s ə bʱ ɑː
विधेयक	ʋ ɪ d̪ʱ eː j ə k
विनम्रता	ʋ ɪ n ə m ɾ ə t̪ ɑː
विनय	ʋ ɪ n ə j
विनाशकारी	ʋ ɪ n ɑː ʃ k ɑː ɾ iː
विनिर्माण	ʋ ɪ n ɪ ɾ m ɑː n
विनिवेश	ʋ ɪ n ɪ ʋ eː ʃ
विनोद	ʋ ɪ n oː d̪
विपक्षी	ʋ ɪ p ə k ʃ iː
विपरीत	ʋ ɪ p ɾ iː t̪
विभाजित	ʋ ɪ bʱ ɑː d͡ʒ ɪ t̪
विभीषिका	ʋ ɪ bʱ iː ʃ ɪ k ɑː
विभूति	ʋ ɪ bʱ uː t̪ iː
विमान	ʋ ɪ m ɑː n
वियतनाम	ʋ iː j ə t̪ n ɑː m
विराजमान	ʋ ɪ ɾ ɑː d͡ʒ m ɑː n
विराटनगर	ʋ ɪ ɾ ɑː ʈ ə n ɡ ə ɾ
विरुद्ध	ʋ ɪ ɾ ʊ d̪ d̪ʱ
विरोधी	ʋ ɪ ɾ oː d̪ʱ iː
विलास	ʋ ɪ l ɑː s
विलीन	ʋ ɪ l iː n
विवादित	ʋ ɪ ʋ ɑː d̪ ɪ t̪
विवि	ʋ ɪ ʋ iː
विविध	ʋ ɪ ʋ ɪ d̪ʱ
विशिष्ट	ʋ ɪ ʃ ɪ ʃ ʈ
विशेषकर	ʋ ɪ ʃ eː ʃ k ə ɾ
विशेषज्ञ	ʋ ɪ ʃ eː ʃ ə ɡ j
विशेषण	ʋ ɪ ʃ eː ʃ ə n
विशेषता	ʋ ɪ ʃ eː ʃ t̪ ɑː
विश्लेषण	ʋ ɪ ʃ l eː ʃ ə n
विश्व	ʋ ɪ ʃ ʋ ə
विश्वकोश	ʋ ɪ ʃ ʋ ə k oː ʃ
विश्वप्रसिद्ध	ʋ ɪ ʃ ʋ ə p ɾ ə s ɪ d̪ d̪ʱ
विश्वविख्यात	ʋ ɪ ʃ ʋ ə ʋ ɪ kʰ j ɑː t̪
विश्वासघात	ʋ ɪ ʃ ʋ ɑː s ɡʱ ɑː t̪
विश्वासपात्र	ʋ ɪ ʃ ʋ ɑː s p ɑː t̪ ɾ
विषम	ʋ ɪ ʃ ə m
विषय	ʋ ɪ ʃ ə j
विष्णु	ʋ ɪ ʃ n uː
विसर्जन	ʋ ɪ s ə ɾ d͡ʒ ə n
विसर्जित	ʋ ɪ s ə ɾ d͡ʒ ɪ t̪
विस्थापन	ʋ ɪ s t̪ʰ ɑː p ə n
विस्फोट	ʋ ɪ s pʰ oː ʈ
विस्फोटक	ʋ ɪ s pʰ oː ʈ ə k
विस्मय	ʋ ɪ s m ə j
विहीन	ʋ ɪ ɦ iː n
वीर	ʋ iː ɾ
वृक्ष	ʋ ɾ ɪ k ʃ
वृद्धि	ʋ ɾ ɪ d̪ d̪ʱ iː
वेग	ʋ eː ɡ
वेटिकन	ʋ eː ʈ ɪ k ə n
वेद	ʋ eː d̪
वेदांत	ʋ eː d̪ ɑː n t̪
वेबसाइट	ʋ eː b s ɑː ɪ ʈ
वैंकूवर	ʋ ɛː ŋ k uː ʋ ə ɾ
वैचारिक	ʋ ɛː t͡ʃ ɑː ɾ ɪ k
वैदिक	ʋ ɛː d̪ ɪ k
वैद्य	ʋ ɛː d̪ j
वैध	ʋ ɛː d̪ʱ
वैवाहिक	ʋ ɛː ʋ ɑː ɦ ɪ k
वैशाख	ʋ ɛː ʃ ɑː kʰ
वॉट	ʋ ɔː ʈ
वो	ʋ oː
व्यंजक	ʋ j ə ɲ d͡ʒ ə k
व्यंजन	ʋ j ə ɲ d͡ʒ ə n
व्यक्त	ʋ j ə k t̪
व्यथा	ʋ j ə t̪ʰ ɑː
व्यभिचार	ʋ j ə bʱ ɪ t͡ʃ ɑː ɾ
व्यय	ʋ j ə j
