adda	a tː a
áhrif	a uː r̥ ɪː v
áhugamál	a uː h ʏː ɣ a m a uː l
áhugasamur	a u h ʏː ɣ a s aː m ʏ r
áhugi	a uː h ʏ j ɪ
ákaflega	a uː kʰ a v l ɛː ɣ a
áki	a uː c ɪ
ákveða	a uː kʰ v ɛː ð a
ákveðinn	a uː kʰ v ɛː ð ɪ nː
ál	a uː l
álaborg	a uː l a p ɔ r k
álfadrottning	a u l v a t r ɔ h t n i ŋ k
álfheiður	a u l v h e iː ð ʏ r
álit	a uː l ɪː t
áminna	a uː m ɪ nː a
ára	a uː r a
árabátur	a uː r a p a uː t ʏ r
árangur	a uː r a u ŋ k ʏ r
áreiðanlegur	a uː r e iː ð a n l ɛː ɣ ʏ r
árekstur	a uː r ɛ x s t ʏ r
ári	a uː r ɪ
árna	a u r t n a
árstíð	a u r s tʰ iː ð
árás	a uː r a uː s
áræðinn	a uː r a iː ð ɪ nː
ásamt	a uː s a m̥ t
ásdís	a uː s t iː s
áskrifandi	a uː s k r ɪː v a n t ɪ
áslaug	a uː s l ø yː ɣ
ásmundur	a uː s m ʏ n t ʏ r
ást	a u s t
ástfríður	a u s t f r iː ð ʏ r
ástralía	a u s t r a l iː j a
ástríður	a u s t r iː ð ʏ r
ástæða	a u̯ s t a i̯ ð̠ a
ásókn	a uː s o u h k n
ásýnd	a uː s i n t
át	a uː t
átt	a u h t
átti	a u h t ɪ
ávallt	a uː v a l̥ t
ávarpa	a uː v a r̥ p a
ávísun	a uː v iː s ʏ n
áætlun	a uː a i h t l ʏ n
æfa	a iː v a
æfing	a iː v i ŋ k
ægir	a iː j ɪ r
ær	a iː r
æra	a iː r a
æsa	a iː s a
æstur	a i s t ʏ r
æti	a iː t ɪ
ætla	a i h t l a
ætt	a i h t
ættingi	a i h t i ɲ c ɪ
ættkvísl	a i h t kʰ v i s t l
ævi	a iː v ɪ
æviágrip	a iː v ɪ a uː k r ɪː p
æð	a iː ð
æðri	a i ð r ɪ
ég	j ɛ ɣ
éta	j ɛː t a
ímynd	iː m ɪ n t
ís	iː s
ísbjörn	iː s p j œ r t n
íslam	iː s t l aː m
ísland	i s t l a n t
íslendingur	i s t l ɛ n t i ŋ k ʏ r
ísrael	iː s r aː ɛː l
ítalska	iː tʰ a l s k a
ítalía	iː tʰ aː l iː j a
ítreka	iː tʰ r ɛː k a
ítrekað	iː tʰ r ɛː k a ð
ívar	iː v aː r
íþrótt	iː θ r o u h t
íþróttahús	iː θ r o u h t a h uː s
óaðlaðandi	o uː a ð l aː ð a n t ɪ
óbeinn	o uː p e i t n
óbó	o uː p o uː
ógn	o u k n
ógna	o u k n a
óhapp	o uː h a h p
ók	o uː k
ólafur	o uː l aː v ʏ r
ólafía	o uː l a v iː j a
ólga	o u l k a
óléttur	o uː l j ɛ h t ʏ r
ólöf	o uː l œː v
ómerkilegur	o u m ɛ r̥ c ɪ l ɛː ɣ ʏ r
ómögulegur	o uː m œː ɣ ʏ l ɛː ɣ ʏ r
ós	o uː s
ósk	o u s k
óska	o u s k a
ósló	o uː s t l o uː
óttast	o u h t a s t
óvild	o uː v ɪ l t
óðinsvé	o uː ð ɪ n s v j ɛː
óþarflega	o uː θ a r v l ɛː ɣ a
óþekkt	o uː θ ɛ x t
óþægindi	o uː θ a iː j ɪ n t ɪ
öfga	œ v k a
öfund	œː v ʏ n t
ögn	œ k n
ökumaður	œː k ʏ m aː ð ʏ r
ökuskírteini	œː k ʏ s c i r̥ t e iː n ɪ
ökutæki	œː k ʏ tʰ a iː c ɪ
öld	œ l t
ölvun	œ l v ʏ n
önd	œ n t
önn	œ nː
ör	œː r
örlög	œ r l œː ɣ
örn	œ r t n
örva	œ r v a
örvamælir	œ r v a m a iː l ɪ r
öryggisfyrirtæki	œː r ɪ cː ɪ s f ɪː r ɪ r tʰ a iː c ɪ
öskur	œ s k ʏ r
össur	œ sː ʏ r
öxl	œ x s t l
öðruvísi	œ ð r ʏ v iː s ɪ
úlfaldi	u l v a l t ɪ
úlfur	u l v ʏ r
úr	uː r
úran	uː r aː n
útbreiddur	uː t p r e i tː ʏ r
útbreiða	uː t p r e iː ð a
útbreiðsla	uː t p r e i ð s t l a
útdráttur	uː t t r a u h t ʏ r
útgáfa	uː t k a uː v a
útibú	uː t ɪ p uː
útiloka	uː t ɪ l ɔː k a
útlönd	uː t l œ n t
útsaumur	uː t s ø yː m ʏ r
útskýra	uː t s c iː r a
útsýni	uː t s iː n ɪ
útvarp	uː t v a r̥ p
úði	uː ð ɪ
ýja	iː j a
ýmis	iː m ɪ s
ýsa	iː s a
ýta	iː t a
þak	θ aː k
þakka	θ a h k a
þakklátur	θ a h k l a uː t ʏ r
þannig	θ a nː ɪ ɣ
þar	θ aː r
þaðan	θ aː ð a n
þegja	θ e iː j a
þeir	θ e iː r
þekja	θ ɛː c a
þekking	θ ɛ h c i ŋ k
þekkja	θ ɛ h c a
þema	θ ɛː m a
þenja	θ ɛ n j a
þessi	θ ɛ sː ɪ
þeta	θ ɛː t a
þig	θ ɪː ɣ
þiggja	θ ɪ cː a
þingmaður	θ i ŋ k m aː ð ʏ r
þið	θ ɪ ð
þiðna	θ ɪ ð n a
þjálfa	θ j a u l v a
þjálfun	θ j a u l v ʏ n
þjófnaður	θ j o u p n aː ð ʏ r
þjónusta	θ j o uː n ʏ s t a
þjóð	θ j o uː ð
þjóðerni	θ j o uː ð ɛ r t n ɪ
þoka	θ ɔː k a
þol	θ ɔː l
þola	θ ɔː l a
þolandi	θ ɔː l a n t ɪ
þor	θ ɔː r
þorbjörg	θ ɔ r p j œ r k
þorgerður	θ ɔ r c ɛ r ð ʏ r
þorkell	θ ɔ r̥ cʰ ɛ t l
þorlákur	θ ɔ r l a uː k ʏ r
þorna	θ ɔ r t n a
þorri	θ ɔ rː ɪ
þorskur	θ ɔ r̥ s k ʏ r
þorsteinn	θ ɔ r̥ s t e i t n
þorvaldur	θ ɔ r v a l t ʏ r
þras	θ r aː s
þrasa	θ r aː s a
þrauka	θ r ø yː k a
þraut	θ r ø yː t
þrefa	θ r ɛː v a
þrengja	θ r e i ɲ c a
þrenna	θ r ɛ nː a
þrettán	θ r ɛ h t a uː n
þreyta	θ r e iː t a
þriðji	θ r ɪ ð j ɪ
þrái	θ r a uː ɪ
þrándheimur	θ r a u n t h e iː m ʏ r
þráðlaus	θ r a u ð l ø yː s
þræla	θ r a iː l a
þrífa	θ r iː v a
þríleikur	θ r iː l e iː k ʏ r
þróa	θ r o uː a
þröng	θ r ø y ŋ k
þröngur	θ r ø y ŋ k ʏ r
þröstur	θ r œ s t ʏ r
þrýsta	θ r i s t a
þrýstilína	θ r i s t ɪ l iː n a
þungur	θ u ŋ k ʏ r
þunnur	θ ʏ nː ʏ r
þurfa	θ ʏ r v a
þurr	θ ʏ rː
þurrka	θ ʏ r̥ k a
þuríður	θ ʏː r iː ð ʏ r
þverra	θ v ɛ rː a
þvinga	θ v i ŋ k a
þvo	θ v ɔː
þvottur	θ v ɔ h t ʏ r
þvæla	θ v a iː l a
þvættingur	θ v a i h t i ŋ k ʏ r
þykkja	θ ɪ h c a
þykkur	θ ɪ h k ʏ r
þylja	θ ɪ l j a
þyngd	θ i ŋ t
þyngja	θ i ɲ c a
þynna	θ ɪ nː a
þyrla	θ ɪ r t l a
þáttur	θ a u h t ʏ r
þátíð	θ a uː tʰ iː ð
þægindi	θ a iː j ɪ n t ɪ
þéttur	θ j ɛ h t ʏ r
þó	θ o uː
þór	θ o uː r
þórdís	θ o u r t iː s
þórey	θ o uː r e iː
þórhallur	θ o uː r h a t l ʏ r
þóroddur	θ o uː r ɔ tː ʏ r
þórshöfn	θ o u r̥ s h œ p n
þórunn	θ o uː r ʏ nː
þórður	θ o u r ð ʏ r
þórólfur	θ o uː r o u l v ʏ r
þögull	θ œː ɣ ʏ t l
þökk	θ œ h k
þörf	θ œ r v
þörungur	θ œː r u ŋ k ʏ r
þúsund	θ uː s ʏ n t
þýfi	θ iː v ɪ
þýska	θ i s k a
þýskaland	θ i s k a l a n t
þýskur	θ i s k ʏ r
þýðing	θ iː ð i ŋ k
