あい	a̠ i
ぜんかい	d͡z ẽ̞ ŋ k a̠ i
ぜんき	d͡z ẽ̞ ŋʲ kʲ i
ぜんげん	d͡z ẽ̞ ŋ ɡ ẽ̞ ɴ
ぜんたいしゅぎ	d͡z ẽ̞ n t a̠ i ɕ ɨᵝ ɡʲ i
ぜんたん	d͡z ẽ̞ n t ã̠ ɴ
ぜんちょう	d͡z ẽ̞ ɲ̟ t͡ɕ o̞ː
ぜんてい	d͡z ẽ̞ n t e̞ː
ぜんとう	d͡z ẽ̞ n t o̞ː
ぜんとようよう	d͡z ẽ̞ n t o̞ j o̞ː j o̞ː
ぜんぼう	d͡z ẽ̞ m b o̞ː
ぜんやさい	d͡z ẽ̞ ɰ̃ j a̠ s a̠ i
そい	s o j
そういくふう	s o̞ː i k ɯ̟ᵝ ɸ ɯ̟ᵝː
そううけ	s o̞ː ɯ̟ᵝ k e̞
そうがく	s o̞ː ɡ a̠ k ɯ̟ᵝ
そうけい	s o̞ː k e̞ː
そうこばん	s o̞ː k o̞ b ã̠ ɴ
そうさせい	s o̞ː s a̠ s e̞ː
そうじふ	s o̞ː ʑ i ɸ ɯ̟ᵝ
そうじゅうかん	s o̞ː ʑ ɨᵝː k ã̠ ɴ
そうじゅうし	s o̞ː ʑ ɨᵝː ɕ i
そうず	s o̞ː z ɨᵝ
そうぞうしゅ	s o̞ː z o̞ː ɕ ɨᵝ
そうたいてき	s o̞ː t a̠ i t e̞ kʲ i
そうだん	s o̞ː d ã̠ ɴ
そうにょう	s o̞ː ɲ̟ o̞ː
そうびょう	s o̞ː bʲ o̞ː
そうめいきょく	s o̞ː m e̞ː kʲ o̞ k ɯ̟ᵝ
そうらい	s o̞ː ɾ a̠ i
そく	s o̞ k ɯ̟ᵝ
そくい	s o̞ k ɯ̟ᵝ i
そくず	s o̞ k ɯ̟ᵝ z ɨᵝ
そくせんりょく	s o̞ k ɯ̟ᵝ s ẽ̞ n ɾʲ o̞ k ɯ̟ᵝ
そくど	s o̞ k ɯ̟ᵝ d o̞
そくばいかい	s o̞ k ɯ̟ᵝ b a̠ i k a̠ i
そこぢから	s o̞ k o̞ ʑ i k a̠ ɾ a̠
そすう	s o̞ s ɨᵝː
そせい	s o̞ s e̞ː
そぜい	s o̞ z e̞ː
そそ	s o̞ s o̞
そだち	s o̞ d a̠ t͡ɕ i
そっきょう	s o̞ k̚ʲ kʲ o̞ː
そつぎょうせい	s o̞ t͡s ɨᵝ ɡʲ o̞ː s e̞ː
そつにゅう	s o̞ t͡s ɨᵝ ɲ̟ ɯ̟ᵝː
そでぐち	s o̞ d e̞ ɡ ɯ̟ᵝ t͡ɕ i
そと	s o̞ t o̞
そとうば	s o̞ t o̞ː b a̠
そとぜい	s o̞ t o̞ z e̞ː
そなえ	s o̞ n a̠ e̞
そなえつける	s o̞ n a̠ e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
そば	s o̞ b a̠
そふ	s o̞ ɸ ɯ̟ᵝ
そほうか	s o̞ h o̞ː k a̠
そむける	s o̞ m ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
そもじ	s o̞ m o̞ ʑ i
そや	s o̞ j a̠
そら	s o̞ ɾ a̠
そらいびき	s o̞ ɾ a̠ i bʲ i kʲ i
そろばんだかい	s o̞ ɾ o̞ b ã̠ n d a̠ k a̠ i
そんする	s õ̞ ɰ̃ s ɨᵝ ɾ ɯ̟ᵝ
ぞう	d͡z o̞ː
ぞうけい	d͡z o̞ː k e̞ː
ぞうしょう	d͡z o̞ː ɕ o̞ː
ぞうふく	d͡z o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
ぞうりむし	d͡z o̞ː ɾʲ i m ɯ̟ᵝ ɕ i
ぞくしゅつ	d͡z o̞ k ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
ぞくせ	d͡z o̞ k ɯ̟ᵝ s e̞
ぞろぞろ	d͡z o̞ ɾ o̞ z o̞ ɾ o̞
ぞろめ	d͡z o̞ ɾ o̞ m e̞
たいいくかん	t a̠ i i k ɯ̟ᵝ k ã̠ ɴ
たいいくずわり	t a̠ i i k ɯ̟ᵝ z ɨᵝ ɰᵝ a̠ ɾʲ i
たいいんれき	t a̠ i ĩ n ɾ e̞ kʲ i
たいえき	t a̠ i e̞ kʲ i
たいおん	t a̠ i õ̞ ɴ
たいぎゃく	t a̠ i ɡʲ a̠ k ɯ̟ᵝ
たいぐう	t a̠ i ɡ ɯ̟ᵝː
たいしつ	t a̠ i ɕ i t͡s ɨᵝ
たいしゃ	t a̠ i ɕ a̠
たいしゅう	t a̠ i ɕ ɨᵝː
たいしゅうぶんか	t a̠ i ɕ ɨᵝː b ɯ̟̃ᵝ ŋ k a̠
たいじや	t a̠ i ʑ i j a̠
たいすう	t a̠ i s ɨᵝː
たいせい	t a̠ i s e̞ː
たいせん	t a̠ i s ẽ̞ ɴ
たいだん	t a̠ i d ã̠ ɴ
たいちょう	t a̠ i t͡ɕ o̞ː
たいとう	t a̠ i t o̞ː
たいない	t a̠ i n a̠ i
たいないどけい	t a̠ i n a̠ i d o̞ k e̞ː
たいぺい	t a̠ i p e̞ː
たいほう	t a̠ i h o̞ː
たいまい	t a̠ i m a̠ i
たいめん	t a̠ i m ẽ̞ ɴ
たいりゅう	t a̠ i ɾʲ ɨᵝː
たいわんじん	t a̠ i ɰᵝ ã̠ ɲ̟ d͡ʑ ĩ ɴ
たいわんとら	t a̠ i ɰᵝ ã̠ n t o̞ ɾ a̠
たえる	t a̠ e̞ ɾ ɯ̟ᵝ
たおやか	t a̠ o̞ j a̠ k a̠
たかなる	t a̠ k a̠ n a̠ ɾ ɯ̟ᵝ
たかね	t a̠ k a̠ n e̞
たかのり	t a̠ k a̠ n o̞ ɾʲ i
たかよし	t a̠ k a̠ j o̞ ɕ i
たからか	t a̠ k a̠ ɾ a̠ k a̠
たがる	t a̠ ɡ a̠ ɾ ɯ̟ᵝ
たき	t a̠ kʲ i
たくす	t a̠ k ɯ̟ᵝ s ɨᵝ
たくぜつ	t a̠ k ɯ̟ᵝ z e̞ t͡s ɨᵝ
たくみ	t a̠ k ɯ̟ᵝ mʲ i
たくや	t a̠ k ɯ̟ᵝ j a̠
たけひこ	t a̠ k e̞ ç i k o̞
たざわ	t a̠ z a̠ ɰᵝ a̠
たしなみ	t a̠ ɕ i n a̠ mʲ i
たしょ	t a̠ ɕ o̞
たそくるい	t a̠ s o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ i
たたきおこす	t a̠ t a̠ kʲ i o̞ k o̞ s ɨᵝ
たたく	t a̠ t a̠ k ɯ̟ᵝ
ただいま	t a̠ d a̠ i m a̠
ただよう	t a̠ d a̠ j o̞ ɯ̟ᵝ
たち	t a̠ t͡ɕ i
たちあがる	t a̠ t͡ɕ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
たちぐい	t a̠ t͡ɕ i ɡ ɯ̟ᵝ i
たちさる	t a̠ t͡ɕ i s a̠ ɾ ɯ̟ᵝ
たちどまる	t a̠ t͡ɕ i d o̞ m a̠ ɾ ɯ̟ᵝ
たちのく	t a̠ t͡ɕ i n o̞ k ɯ̟ᵝ
たっけい	t a̠ k̚ k e̞ː
たって	t a̠ t̚ t e̞
たつたあげ	t a̠ t͡s ɨᵝ t a̠ a̠ ɡ e̞
たつまき	t a̠ t͡s ɨᵝ m a̠ kʲ i
たつみ	t a̠ t͡s ɨᵝ mʲ i
たつや	t a̠ t͡s ɨᵝ j a̠
たつやま	t a̠ t͡s ɨᵝ j a̠ m a̠
たてあみ	t a̠ t e̞ a̠ mʲ i
たてざ	t a̠ t e̞ z a̠
たてぶえ	t a̠ t e̞ b ɯ̟ᵝ e̞
たどりつく	t a̠ d o̞ ɾʲ i t͡s ɨᵝ k ɯ̟ᵝ
たどる	t a̠ d o̞ ɾ ɯ̟ᵝ
たぬきねいり	t a̠ n ɯ̟ᵝ kʲ i n e̞ i ɾʲ i
たねだ	t a̠ n e̞ d a̠
たのしむ	t a̠ n o̞ ɕ i m ɯ̟ᵝ
たば	t a̠ b a̠
たび	t a̠ bʲ i
たびだつ	t a̠ bʲ i d a̠ t͡s ɨᵝ
たべもの	t a̠ b e̞ m o̞ n o̞
たべる	t a̠ b e̞ ɾ ɯ̟ᵝ
たまご	t a̠ m a̠ ɡ o̞
たまつき	t a̠ m a̠ t͡s ɨ̥ᵝ kʲ i
たまる	t a̠ m a̠ ɾ ɯ̟ᵝ
たまわる	t a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
たみ	t a̠ mʲ i
ためかげ	t a̠ m e̞ k a̠ ɡ e̞
ためん	t a̠ m ẽ̞ ɴ
ためんかく	t a̠ m ẽ̞ ŋ k a̠ k ɯ̟ᵝ
たもつ	t a̠ m o̞ t͡s ɨᵝ
たより	t a̠ j o̞ ɾʲ i
たら	t a̠ ɾ a̠
たりつ	t a̠ ɾʲ i t͡s ɨᵝ
たる	t a̠ ɾ ɯ̟ᵝ
たれめ	t a̠ ɾ e̞ m e̞
たれる	t a̠ ɾ e̞ ɾ ɯ̟ᵝ
たん	t ã̠ ɴ
たんいけい	t ã̠ ɰ̃ i k e̞ː
たんけんか	t ã̠ ŋ k ẽ̞ ŋ k a̠
たんご	t ã̠ ŋ ɡ o̞
たんさんすい	t ã̠ ɰ̃ s ã̠ ɰ̃ s ɨᵝ i
たんし	t ã̠ ɰ̃ ɕ i
たんしゃ	t ã̠ ɰ̃ ɕ a̠
たんしょ	t ã̠ ɰ̃ ɕ o̞
たんじゅうさん	t ã̠ ɲ̟ d͡ʑ ɨᵝː s ã̠ ɴ
たんじゅん	t ã̠ ɲ̟ d͡ʑ ɨ̃ᵝ ɴ
たんじゅんりん	t ã̠ ɲ̟ d͡ʑ ɨ̃ᵝ n ɾʲ ĩ ɴ
たんじょうせき	t ã̠ ɲ̟ d͡ʑ o̞ː s e̞ kʲ i
たんち	t ã̠ ɲ̟ t͡ɕ i
たんてい	t ã̠ n t e̞ː
たんとう	t ã̠ n t o̞ː
たんぱく	t ã̠ m p a̠ k ɯ̟ᵝ
たんぱくしつ	t ã̠ m p a̠ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
たんぽぽ	t ã̠ m p o̞ p o̞
たんようき	t ã̠ ɰ̃ j o̞ː kʲ i
だい	d a̠ i
だいえつ	d a̠ i e̞ t͡s ɨᵝ
だいおう	d a̠ i o̞ː
だいがくいん	d a̠ i ɡ a̠ k ɯ̟ᵝ ĩ ɴ
だいけい	d a̠ i k e̞ː
だいじほう	d a̠ i ʑ i h o̞ː
だいじょうぶ	d a̠ i ʑ o̞ː b ɯ̟ᵝ
だいじょうぶっきょう	d a̠ i ʑ o̞ː b ɯ̟ᵝ k̚ʲ kʲ o̞ː
だいそう	d a̠ i s o̞ː
だいたんふてき	d a̠ i t ã̠ ɰ̃ ɸ ɯ̟ᵝ t e̞ kʲ i
だいち	d a̠ i t͡ɕ i
だいちろう	d a̠ i t͡ɕ i ɾ o̞ː
だいていたく	d a̠ i t e̞ː t a̠ k ɯ̟ᵝ
だいとうりょう	d a̠ i t o̞ː ɾʲ o̞ː
だいとうりょうれい	d a̠ i t o̞ː ɾʲ o̞ː ɾ e̞ː
だいにち	d a̠ i ɲ̟ i t͡ɕ i
だいぼ	d a̠ i b o̞
だいみょう	d a̠ i mʲ o̞ː
だいめいし	d a̠ i m e̞ː ɕ i
だいわ	d a̠ i ɰᵝ a̠
だが	d a̠ ɡ a̠
だきしめる	d a̠ kʲ i ɕ i m e̞ ɾ ɯ̟ᵝ
だきまくら	d a̠ kʲ i m a̠ k ɯ̟ᵝ ɾ a̠
だくてん	d a̠ k ɯ̟̊ᵝ t ẽ̞ ɴ
だくひ	d a̠ k ɯ̟ᵝ ç i
だけん	d a̠ k ẽ̞ ɴ
だす	d a̠ s ɨᵝ
だつらく	d a̠ t͡s ɨᵝ ɾ a̠ k ɯ̟ᵝ
だまり	d ã̠ mː a̠ ɾʲ i
だらく	d a̠ ɾ a̠ k ɯ̟ᵝ
だらに	d a̠ ɾ a̠ ɲ̟ i
だんあつ	d ã̠ ɰ̃ a̠ t͡s ɨᵝ
だんかい	d ã̠ ŋ k a̠ i
だんくん	d ã̠ ŋ k ɯ̟̃ᵝ ɴ
だんご	d ã̠ ŋ ɡ o̞
だんしゃく	d ã̠ ɰ̃ ɕ a̠ k ɯ̟ᵝ
だんそう	d ã̠ ɰ̃ s o̞ː
だんちょう	d ã̠ ɲ̟ t͡ɕ o̞ː
だんてい	d ã̠ n t e̞ː
だんとう	d ã̠ n t o̞ː
だんぼう	d ã̠ m b o̞ː
ちいるい	t͡ɕ i i ɾ ɯ̟ᵝ i
ちえぶくろ	t͡ɕ i e̞ b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
ちかづける	t͡ɕ i k a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
ちかみち	t͡ɕ i k a̠ mʲ i t͡ɕ i
ちきゅうぎ	t͡ɕ i kʲ ɨᵝː ɡʲ i
ちぎれる	t͡ɕ i ɡʲ i ɾ e̞ ɾ ɯ̟ᵝ
ちく	t͡ɕ i k ɯ̟ᵝ
ちくかん	t͡ɕ i k ɯ̟ᵝ k ã̠ ɴ
ちくごやく	t͡ɕ i k ɯ̟ᵝ ɡ o̞ j a̠ k ɯ̟ᵝ
ちくさつば	t͡ɕ i k ɯ̟ᵝ s a̠ t͡s ɨᵝ b a̠
ちけいがく	t͡ɕ i̥ k e̞ː ɡ a̠ k ɯ̟ᵝ
ちしきじん	t͡ɕ i ɕ i̥ kʲ i ʑ ĩ ɴ
ちせい	t͡ɕ i̥ s e̞ː
ちたいくう	t͡ɕ i t a̠ i k ɯ̟ᵝː
ちちおさえ	t͡ɕ i̥ t͡ɕ i o̞ s a̠ e̞
ちぢまる	t͡ɕ i ʑ i m a̠ ɾ ɯ̟ᵝ
ちとせ	t͡ɕ i̥ t o̞ s e̞
ちどり	t͡ɕ i d o̞ ɾʲ i
ちはや	t͡ɕ i h a̠ j a̠
ちばしる	t͡ɕ i b a̠ ɕ i ɾ ɯ̟ᵝ
ちばなれ	t͡ɕ i b a̠ n a̠ ɾ e̞
ちびっこ	t͡ɕ i bʲ i k̚ k o̞
ちめいてき	t͡ɕ i m e̞ː t e̞ kʲ i
ちゃ	t͡ɕ a̠
ちゃえん	t͡ɕ a̠ ẽ̞ ɴ
ちゃら	t͡ɕ a̠ ɾ a̠
ちやほや	t͡ɕ i j a̠ h o̞ j a̠
ちゅうい	t͡ɕ ɨᵝː i
ちゅうがく	t͡ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ
ちゅうがっこう	t͡ɕ ɨᵝː ɡ a̠ k̚ k o̞ː
ちゅうごくご	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ ɡ o̞
ちゅうさ	t͡ɕ ɨᵝː s a̠
ちゅうさいにん	t͡ɕ ɨᵝː s a̠ i ɲ̟ ĩ ɴ
ちゅうしゃくしぎ	t͡ɕ ɨᵝː ɕ a̠ k ɯ̟̊ᵝ ɕ i ɡʲ i
ちゅうすいえん	t͡ɕ ɨᵝː s ɨᵝ i ẽ̞ ɴ
ちゅうだん	t͡ɕʲ u͍ː d a̠ ɴ
ちゅうひ	t͡ɕ ɨᵝː ç i
ちゅうぼう	t͡ɕ ɨᵝː b o̞ː
ちゅうる	t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
ちょ	t͡ɕ o̞
ちょうおんぷ	t͡ɕ o̞ː õ̞ m p ɯ̟ᵝ
ちょうきょり	t͡ɕ o̞ː kʲ o̞ ɾʲ i
ちょうこくぐざ	t͡ɕ o̞ː k o̞ k ɯ̟ᵝ ɡ ɯ̟ᵝ z a̠
ちょうしつ	t͡ɕ o̞ː ɕ i t͡s ɨᵝ
ちょうじ	t͡ɕ o̞ː ʑ i
ちょうじかん	t͡ɕ o̞ː ʑ i k ã̠ ɴ
ちょうじゅう	t͡ɕ o̞ː ʑ ɨᵝː
ちょうせんじん	t͡ɕ o̞ː s ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
ちょうせんはんとう	t͡ɕ o̞ː s ẽ̞ ɰ̃ h ã̠ n t o̞ː
ちょうなん	t͡ɕ o̞ː n ã̠ ɴ
ちょうへん	t͡ɕ o̞ː h ẽ̞ ɴ
ちょうめい	t͡ɕ o̞ː m e̞ː
ちょうよう	t͡ɕ o̞ː j o̞ː
ちょくご	t͡ɕ o̞ k ɯ̟ᵝ ɡ o̞
ちょくせつ	t͡ɕ o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
ちょくぜん	t͡ɕ o̞ k ɯ̟ᵝ z ẽ̞ ɴ
ちょさくけんしんがい	t͡ɕ o̞ s a̠ k ɯ̟ᵝ k ẽ̞ ɰ̃ ɕ ĩ ŋ ɡ a̠ i
ちょっかん	t͡ɕ o̞ k̚ k ã̠ ɴ
ちょっと	t͡ɕ o̞ t̚ t o̞
ちらす	t͡ɕ i ɾ a̠ s ɨᵝ
ちらっと	t͡ɕ i ɾ a̠ t̚ t o̞
ちりれんげ	t͡ɕ i ɾʲ i ɾ ẽ̞ ŋ ɡ e̞
ちんか	t͡ɕ ĩ ŋ k a̠
ちんぎん	t͡ɕ ĩ ŋʲ ɡʲ ĩ ɴ
ちんこ	t͡ɕ ĩ ŋ k o̞
ちんこう	t͡ɕ ĩ ŋ k o̞ː
ちんこんか	t͡ɕ ĩ ŋ k õ̞ ŋ k a̠
ちんじゅ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
ちんじゅつ	t͡ɕ ĩ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
ちんせいか	t͡ɕ ĩ ɰ̃ s e̞ː k a̠
ちんちろりん	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ o̞ ɾʲ ĩ ɴ
ちんつうざい	t͡ɕ ĩ n t͡s ɨᵝː z a̠ i
ちんぷんかんぷん	t͡ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ m p ɯ̟̃ᵝ ɴ
ちんぽこ	t͡ɕ ĩ m p o̞ k o̞
ちんもく	t͡ɕ ĩ mː o̞ k ɯ̟ᵝ
ちんれつ	t͡ɕ ĩ n ɾ e̞ t͡s ɨᵝ
ついえる	t͡s ɨᵝ i e̞ ɾ ɯ̟ᵝ
ついか	t͡s ɨᵝ i k a̠
ついしけん	t͡s ɨᵝ i ɕ i k ẽ̞ ɴ
ついずい	t͡s ɨᵝ i z ɨᵝ i
ついたち	t͡s ɨᵝ i t a̠ t͡ɕ i
ついばむ	t͡s ɨᵝ i b a̠ m ɯ̟ᵝ
つうかい	t͡s ɨᵝː k a̠ i
つうきん	t͡s ɨᵝː kʲ ĩ ɴ
つうこく	t͡s ɨᵝː k o̞ k ɯ̟ᵝ
つうさん	t͡s ɨᵝː s ã̠ ɴ
つうしん	t͡s ɨᵝː ɕ ĩ ɴ
つうせつ	t͡s ɨᵝː s e̞ t͡s ɨᵝ
つうやくしゃ	t͡s ɯᵝː j a̠ k ɯᵝ ɕʲ a̠
つうよう	t͡s ɨᵝː j o̞ː
つか	t͡s ɨ̥ᵝ k a̠
つかいふるし	t͡s ɨᵝ k a̠ i ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i
つかいわける	t͡s ɨᵝ k a̠ i ɰᵝ a̠ k e̞ ɾ ɯ̟ᵝ
つかう	t͡s ɨ̥ᵝ k a̠ ɯ̟ᵝ
つかる	t͡s ɨᵝ k a̠ ɾ ɯ̟ᵝ
つがざくら	t͡s ɨᵝ ɡ a̠ z a̠ k ɯ̟ᵝ ɾ a̠
つきまとう	t͡s ɨᵝ kʲ i m a̠ t o̞ ɯ̟ᵝ
つきよみ	t͡s ɨ̥ᵝ kʲ i j o̞ mʲ i
つぎめ	t͡s ɨᵝ ɡʲ i m e̞
つく	t͡s ɨᵝ k ɯ̟ᵝ
つくえ	t͡s ɨᵝ k ɯ̟ᵝ e̞
つくりじ	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i ʑ i
つくりわらい	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i ɰᵝ a̠ ɾ a̠ i
つくる	t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
つくろいもの	t͡s ɨᵝ k ɯ̟ᵝ ɾ o̞ i m o̞ n o̞
つくろう	t͡s ɨᵝ k ɯ̟ᵝ ɾ o̞ ɯ̟ᵝ
つぐみ	t͡s ɨᵝ ɡ ɯ̟ᵝ mʲ i
つけぶみ	t͡s ɨᵝ k e̞ b ɯ̟ᵝ mʲ i
つけもの	t͡s ɨ̥ᵝ k e̞ m o̞ n o̞
つげる	t͡s ɨᵝ ɡ e̞ ɾ ɯ̟ᵝ
つじうら	t͡s ɨᵝ ʑ i ɯ̟ᵝ ɾ a̠
つじつま	t͡s ɨᵝ ʑ i t͡s ɨᵝ m a̠
つたわる	t͡s ɨᵝ t a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
つだみ	t͡s ɨᵝ d a̠ mʲ i
つっこみ	t͡s ɨ̥ᵝ k̚ k o̞ mʲ i
つついづつ	t͡s ɨᵝ t͡s ɨᵝ i z ɨᵝ t͡s ɨᵝ
つつむ	t͡s ɨᵝ t͡s ɨᵝ m ɯ̟ᵝ
つづりじ	t͡s ɨᵝ z ɨᵝ ɾʲ i ʑ i
つとまる	t͡s ɨᵝ t o̞ m a̠ ɾ ɯ̟ᵝ
つとめる	t͡s ɨᵝ t o̞ m e̞ ɾ ɯ̟ᵝ
つなぐ	t͡s ɨᵝ n a̠ ɡ ɯ̟ᵝ
つなひき	t͡s ɨᵝ n a̠ ç i̥ kʲ i
つば	t͡s ɨᵝ b a̠
つばき	t͡s ɨᵝ b a̠ kʲ i
つぶす	t͡s ɨᵝ b ɯ̟ᵝ s ɨᵝ
つぶやく	t͡s ɨᵝ b ɯ̟ᵝ j a̠ k ɯ̟ᵝ
つまずく	t͡s ɨᵝ m a̠ z ɨᵝ k ɯ̟ᵝ
つみこむ	t͡s ɨᵝ mʲ i k o̞ m ɯ̟ᵝ
つめかんむり	t͡s ɨᵝ m e̞ k ã̠ mː ɯ̟ᵝ ɾʲ i
つらなる	t͡s ɨᵝ ɾ a̠ n a̠ ɾ ɯ̟ᵝ
つりざお	t͡s ɨᵝ ɾʲ i z a̠ o̞
つるかめざん	t͡s ɨᵝ ɾ ɯ̟ᵝ k a̠ m e̞ z ã̠ ɴ
つるれいし	t͡s ɨᵝ ɾ ɯ̟ᵝ ɾ e̞ː ɕ i
つれだす	t͡s ɨᵝ ɾ e̞ d a̠ s ɨᵝ
つわる	t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
てあらい	t e̞ a̠ ɾ a̠ i
ていおん	t e̞ː õ̞ ɴ
ていきけん	t e̞ː kʲ i k ẽ̞ ɴ
ていけつ	t e̞ː k e̞ t͡s ɨᵝ
ていげん	t e̞ː ɡ ẽ̞ ɴ
ていこう	t e̞ː k o̞ː
ていし	t e̞ː ɕ i
ていしき	t e̞ː ɕ i kʲ i
ていしゅつ	t e̞ː ɕ ɨᵝ t͡s ɨᵝ
ていしょとくそう	t e̞ː ɕ o̞ t o̞ k ɯ̟ᵝ s o̞ː
ていじ	t e̞ː ʑ i
ていじゅう	t e̞ː ʑ ɨᵝː
ていせい	t e̞ː s e̞ː
ていそうたい	t e̞ː s o̞ː t a̠ i
ていちょう	t e̞ː t͡ɕ o̞ː
ていゆほう	t e̞ː j ɯ̟ᵝ h o̞ː
てかき	t e̞ k a̠ kʲ i
てがみ	t e̞ ɡ a̠ mʲ i
てきだんへい	t e̞ kʲ i d ã̠ ɰ̃ h e̞ː
てごめ	t e̞ ɡ o̞ m e̞
てせい	t e̞ s e̞ː
てっこうかぎ	t e̞ k̚ k o̞ː k a̠ ɡʲ i
てっこつ	t e̞ k̚ k o̞ t͡s ɨᵝ
てっさ	t e̞ sː a̠
てっせんじゅつ	t e̞ sː ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
てっぱん	t e̞ p̚ p ã̠ ɴ
てつ	t e̞ t͡s ɨᵝ
てつくず	t e̞ t͡s ɨᵝ k ɯ̟ᵝ z ɨᵝ
てつづき	t e̞ t͡s ɨᵝ z ɨᵝ kʲ i
てどり	t e̞ d o̞ ɾʲ i
てぬかり	t e̞ n ɯ̟ᵝ k a̠ ɾʲ i
てのひら	t e̞ n o̞ ç i ɾ a̠
てふだ	t e̞ ɸ ɯ̟ᵝ d a̠
てりかえす	t e̞ ɾʲ i k a̠ e̞ s ɨᵝ
てんい	t ẽ̞ ɰ̃ i
てんけん	t ẽ̞ ŋ k ẽ̞ ɴ
てんこうせい	t ẽ̞ ŋ k o̞ː s e̞ː
てんざい	t ẽ̞ n d͡z a̠ i
てんじ	t ẽ̞ ɲ̟ d͡ʑ i
てんそ	t ẽ̞ ɰ̃ s o̞
てんてき	t ẽ̞ n t e̞ kʲ i
てんてつしゅ	t ẽ̞ n t e̞ t͡s ɨᵝ ɕ ɨᵝ
てんてん	t ẽ̞ n t ẽ̞ ɴ
てんとうむしだまし	t ẽ̞ n t o̞ː m ɯ̟ᵝ ɕ i d a̠ m a̠ ɕ i
てんねんしげん	t ẽ̞ nː ẽ̞ ɰ̃ ɕ i ɡ ẽ̞ ɴ
てんねんとう	t ẽ̞ nː ẽ̞ n t o̞ː
てんばい	t ẽ̞ m b a̠ i
てんもう	t ẽ̞ mː o̞ː
でかす	d e̞ k a̠ s ɨᵝ
できあい	d e̞ kʲ i a̠ i
できばえ	d e̞ kʲ i b a̠ e̞
でくわす	d e̞ k ɯ̟ᵝ ɰᵝ a̠ s ɨᵝ
でぶでぶ	d e̞ b ɯ̟ᵝ d e̞ b ɯ̟ᵝ
でまえ	d e̞ m a̠ e̞
でんしじゅう	d ẽ̞ ɰ̃ ɕ i ʑ ɨᵝː
でんせつ	d ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
でんとつ	d ẽ̞ n t o̞ t͡s ɨᵝ
でんどう	d ẽ̞ n d o̞ː
でんのう	d ẽ̞ nː o̞ː
でんりゅうけい	d ẽ̞ n ɾʲ ɨᵝː k e̞ː
でんりょくけい	d ẽ̞ n ɾʲ o̞ k ɯ̟̊ᵝ k e̞ː
でんれい	d ẽ̞ n ɾ e̞ː
とい	t o̞ i
といあわせ	t o̞ i a̠ ɰᵝ a̠ s e̞
といき	t o̞ i kʲ i
といし	t o̞ i ɕ i
とうかく	t o̞ː k a̠ k ɯ̟ᵝ
とうがし	t o̞ː ɡ a̠ ɕ i
とうがらし	t o̞ː ɡ a̠ ɾ a̠ ɕ i
とうきょう	t o̞ː kʲ o̞ː
とうきょうぶ	t o̞ː kʲ o̞ː b ɯ̟ᵝ
とうぎゅう	t o̞ː ɡʲ ɨᵝː
とうけい	t o̞ː k e̞ː
とうげい	t o̞ː ɡ e̞ː
とうげんきょう	t o̞ː ɡ ẽ̞ ŋʲ kʲ o̞ː
とうしき	t o̞ː ɕ i̥ kʲ i
とうしゅう	t o̞ː ɕ ɨᵝː
とうしょく	t o̞ː ɕ o̞ k ɯ̟ᵝ
とうじょう	t o̞ː ʑ o̞ː
とうせき	t o̞ː s e̞ kʲ i
とうち	t o̞ː t͡ɕ i
とうちゃく	t o̞ː t͡ɕ a̠ k ɯ̟ᵝ
とうちょうき	t o̞ː t͡ɕ o̞ː kʲ i
とうちょうよう	t o̞ː t͡ɕ o̞ː j o̞ː
とうてい	t o̞ː t e̞ː
とうとつ	t o̞ː t o̞ t͡s ɨᵝ
とうなん	t o̞ː n ã̠ ɴ
とうは	t o̞ː h a̠
とうばく	t o̞ː b a̠ k ɯ̟ᵝ
とうばん	t o̞ː b ã̠ ɴ
